Name	GSM	Treatment	Condition
LNCaP_HIF1A_1	GSM3148990	AN	4h:1nM:r1881
LNCaP_HIF1A_ET_1	GSM3148992	ET
LNCaP_NMYC_1	GSM3290780	AN	24h:10nM:DHT
LNCaP_NMYC_ET_1	GSM3290782	ET
LNCaP_XBP1s_1	GSM3449384	AN	24h:10nM:r1881
LNCaP_XBP1s_ET_1	GSM3449383	ET
LNCaP_XBP1s_2	GSM3449386	AN	24h:10nM:r1881
LNCaP_XBP1s_ET_2	GSM3449385	ET	
LNCaP_MYBL2_1	GSM3560178	AN	12h:1nM:r1881
LNCaP_MYBL2_ET_1	GSM3560179	ET
LNCaP_MYBL2_2	GSM3560180	AN	12h:1nM:r1881
LNCaP_MYBL2_ET_2	GSM3560181	ET
LNCaP_MED1_1	GSM3567216	AN	6h:10nM:DHT
LNCaP_MED1_ET_1	GSM3567215	ET
LNCaP_NKX3_1_1	GSM699633	AN	2h:100nM:DHT
LNCaP_NKX3_1_ET_1	GSM699632	ET
LNCaP_POLR2A_1	GSM699637	AN	2h:100nM:DHT
LNCaP_POLR2A_ET_1	GSM699636	ET
LNCaP_PSF_1	GSM1097497	AN	24h:10nM:r1881
LNCaP_PSF_ET_1	GSM1097496	ET
LNCaP_WDR5_1	GSM1333369	AN	3h:10nM:r1881
LNCaP_WDR5_ET_1	GSM1333368	ET
LNCaP_CTBP1_1	GSM1410762	AN	1h:10nM:DHT
LNCaP_CTBP1_ET_1	GSM1410764	ET
LNCaP_CTBP2_1	GSM1410763	AN	24h:10nM:DHT
LNCaP_CTBP2_ET_1	GSM1410765	ET
LNCaP_FOXP1_1	GSM1527837	AN	NA:10nM:r1881
LNCaP_FOXP1_ET_1	GSM1527836	ET
LNCaP_RUNX1_1	GSM1527840	AN	NA:10nM:r1881
LNCaP_RUNX1_ET_1	GSM1527839	ET
LNCaP_TOP1_1	GSM1543792	AN	30m:100nM:DHT
LNCaP_TOP1_ET_1	GSM1543791	ET
LNCaP_MRE11_1	GSM1543776	AN	15m:100nM:DHT
LNCaP_MRE11_ET_1	GSM1543775	ET
LNCaP_CHD1_1	GSM1573653	AN	3.5h:100nM:DHT
LNCaP_CHD1_ET_1	GSM1573654	ET
LNCaP_LSD1_K114me2_1	GSM1573655	AN	3.5h:100nM:DHT
LNCaP_LSD1_K114me2_ET_1	GSM1573656	ET
LNCaP_GATA2_1	GSM1691149	AN	16h:10nM:DHT
LNCaP_GATA2_ET_1	GSM1691155	ET
LNCaP_TRIM24_1	GSM1697902	AN	4h:10nM:DHT
LNCaP_TRIM24_ET_1	GSM1697901	ET
LNCaP_OCT1_1	GSM2058883	AN	24h:10nM:DHT
LNCaP_OCT1_ET_1	GSM2058882	ET
LNCaP_AR_1	GSM2219854	AN	2h:100nM:DHT
LNCaP_AR_ET_1	GSM2219856	ET
LNCaP_AR_2	GSM2219855	AN	2h:100nM:DHT
LNCaP_AR_ET_2	GSM2219857	ET
LNCaP_FOXA1_1	GSM2219862	AN	2h:100nM:DHT
LNCaP_FOXA1_ET_1	GSM2219864	ET
LNCaP_FOXA1_2	GSM2219863	AN	2h:100nM:DHT
LNCaP_FOXA1_ET_2	GSM2219865	ET
LNCaP_P65_1	GSM2219880	AN	2h:100nM:DHT
LNCaP_P65_ET_1	GSM2219882	ET
LNCaP_P65_2	GSM2219881	AN	2h:100nM:DHT
LNCaP_P65_ET_2	GSM2219883	ET
LNCaP_PIAS1_1	GSM2219870	AN	2h:100nM:DHT
LNCaP_PIAS1_ET_1	GSM2219872	ET
LNCaP_PIAS1_2	GSM2219871	AN	2h:100nM:DHT
LNCaP_PIAS1_ET_2	GSM2219873	ET
LNCaP_MTOR_1	GSM2463797	AN	48h:10nM:r1881
LNCaP_MTOR_ET_1	GSM2463796	ET
LNCaP_ARID1A_1	GSM2480805	AN	4h:10nM:r1881
LNCaP_ARID1A_ET_1	GSM2480804	ET
LNCaP_ARID1A_2	GSM2480807	AN	4h:10nM:r1881
LNCaP_ARID1A_ET_2	GSM2480806	ET
LNCaP_HOXB13_1	GSM2480817	AN	4h:10nM:r1881
LNCaP_HOXB13_ET_1	GSM2480816	ET
LNCaP_HOXB13_2	GSM2480819	AN	4h:10nM:r1881
LNCaP_HOXB13_ET_2	GSM2480818	ET
LNCaP_HOXB13_3	GSM2480821	AN	4h:10nM:r1881
LNCaP_HOXB13_ET_3	GSM2480820	ET
LNCaP_SMARCA4_1	GSM2480809	AN	4h:10nM:r1881
LNCaP_SMARCA4_ET_1	GSM2480808	ET
LNCaP_SMARCA4_2	GSM2480811	AN	4h:10nM:r1881
LNCaP_SMARCA4_ET_2	GSM2480810	ET
LNCaP_TLE3_1	GSM2480823	AN	4h:10nM:r1881
LNCaP_TLE3_ET_1	GSM2480822	ET
LNCaP_TLE3_2	GSM2480825	AN	4h:10nM:r1881
LNCaP_TLE3_ET_2	GSM2480824	ET
LNCaP_TRIM28_1	GSM2480827	AN	4h:10nM:r1881
LNCaP_TRIM28_ET_1	GSM2480826	ET
LNCaP_TRIM28_2	GSM2480829	AN	4h:10nM:r1881
LNCaP_TRIM28_ET_2	GSM2480828	ET
